gene,CDR_domain,metabolite_or_pathway,role,direction_predicted_in_ASD
SLC6A19,microbiome_related,tryptophan transport,neutral amino acid transporter,variable
GSS,redox_one_carbon,glutathione synthesis,glutathione synthetase,down
GCLC,redox_one_carbon,glutathione synthesis (rate-limiting),glutamate-cysteine ligase catalytic,down
GCLM,redox_one_carbon,glutathione synthesis (modifier),glutamate-cysteine ligase modifier,down
GSR,redox_one_carbon,GSSG → GSH recycling,glutathione reductase,variable
GPX1,redox_one_carbon,GSH-dependent peroxide reduction,glutathione peroxidase 1,variable
GPX4,redox_one_carbon,lipid peroxide reduction,glutathione peroxidase 4,variable
MAT1A,redox_one_carbon,methionine → SAM (liver),methionine adenosyltransferase 1A,variable
MAT2A,redox_one_carbon,methionine → SAM (extrahepatic),methionine adenosyltransferase 2A,variable
MAT2B,redox_one_carbon,MAT2A regulation → SAM synthesis,methionine adenosyltransferase 2B regulatory,up
AHCY,redox_one_carbon,SAH → homocysteine,S-adenosylhomocysteine hydrolase,variable
MTR,redox_one_carbon,homocysteine → methionine (B12-dependent),methionine synthase,variable
MTRR,redox_one_carbon,MTR regeneration,methionine synthase reductase,variable
CBS,redox_one_carbon,homocysteine → cystathionine (transsulfuration),cystathionine beta-synthase,variable
CTH,redox_one_carbon,cystathionine → cysteine,cystathionine gamma-lyase,variable
MTHFR,redox_one_carbon,5,10-mTHF → 5-MTHF,methylenetetrahydrofolate reductase,variable
SHMT1,redox_one_carbon,serine → glycine + 5,10-mTHF,serine hydroxymethyltransferase 1,variable
SHMT2,redox_one_carbon,serine → glycine + 5,10-mTHF (mito),serine hydroxymethyltransferase 2,variable
